-4.900000,-117.649000
-4.800000,-110.592000
-4.700000,-103.823000
-4.600000,-97.336000
-4.500000,-91.125000
-4.400000,-85.184000
-4.300000,-79.507000
-4.200000,-74.088000
-4.100000,-68.921000
-4.000000,-64.000000
-3.900000,-59.319000
-3.800000,-54.872000
-3.700000,-50.653000
-3.600000,-46.656000
-3.500000,-42.875000
-3.400000,-39.304000
-3.300000,-35.937000
-3.200000,-32.768000
-3.100000,-29.791000
-3.000000,-27.000000
-2.900000,-24.389000
-2.800000,-21.952000
-2.700000,-19.683000
-2.600000,-17.576000
-2.500000,-15.625000
-2.400000,-13.824000
-2.300000,-12.167000
-2.200000,-10.648000
-2.100000,-9.261000
-2.000000,-8.000000
-1.900000,-6.859000
-1.800000,-5.832000
-1.700000,-4.913000
-1.600000,-4.096000
-1.500000,-3.375000
-1.400000,-2.744000
-1.300000,-2.197000
-1.200000,-1.728000
-1.100000,-1.331000
-1.000000,-1.000000
-0.900000,-0.729000
-0.800000,-0.512000
-0.700000,-0.343000
-0.600000,-0.216000
-0.500000,-0.125000
-0.400000,-0.064000
-0.300000,-0.027000
-0.200000,-0.008000
-0.100000,-0.001000
-0.000000,-0.000000
0.100000,0.001000
0.200000,0.008000
0.300000,0.027000
0.400000,0.064000
0.500000,0.125000
0.600000,0.216000
0.700000,0.343000
0.800000,0.512000
0.900000,0.729000
1.000000,1.000000
1.100000,1.331000
1.200000,1.728000
1.300000,2.197000
1.400000,2.744000
1.500000,3.375000
1.600000,4.096000
1.700000,4.913000
1.800000,5.832000
1.900000,6.859000
2.000000,8.000000
2.100000,9.261000
2.200000,10.648000
2.300000,12.167000
2.400000,13.824000
2.500000,15.625000
2.600000,17.576000
2.700000,19.683000
2.800000,21.952000
2.900000,24.389000
3.000000,27.000000
3.100000,29.791000
3.200000,32.768000
3.300000,35.937000
3.400000,39.304000
3.500000,42.875000
3.600000,46.656000
3.700000,50.653000
3.800000,54.872000
3.900000,59.319000
4.000000,64.000000
4.100000,68.921000
4.200000,74.088000
4.300000,79.507000
4.400000,85.184000
4.500000,91.125000
4.600000,97.336000
4.700000,103.823000
4.800000,110.592000
4.900000,117.649000
5.000000,125.000000
